pc,explained,cumulative
247,0.0009255534316664226,0.6662757883487557
248,0.0009225898335931152,0.6671983781823488
249,0.0009179820537506125,0.6681163602360994
250,0.0009151199214457865,0.6690314801575452
251,0.0009123272994740767,0.6699438074570193
252,0.0009101511319915468,0.6708539585890109
253,0.0009073978029850431,0.6717613563919959
254,0.0009001306027583631,0.6726614869947543
255,0.0008986040108818611,0.6735600910056361
256,0.0008965866819133939,0.6744566776875495
257,0.0008950276666572989,0.6753517053542067
258,0.0008911207960487534,0.6762428261502555
259,0.0008888238956096509,0.6771316500458652
260,0.000886838350574305,0.6780184883964395
261,0.0008843216037705707,0.6789028100002101
262,0.0008798678332303153,0.6797826778334405
263,0.0008754666835774399,0.6806581445170179
264,0.0008720633492963291,0.6815302078663142
265,0.0008699476660499763,0.6824001555323642
266,0.0008682148634690931,0.6832683703958333
267,0.0008637979770467234,0.68413216837288
268,0.0008622345473512467,0.6849944029202313
269,0.000858445316855021,0.6858528482370863
270,0.0008569983770975727,0.6867098466141838
271,0.0008535572589964772,0.6875634038731803
272,0.0008497967399057787,0.6884132006130861
273,0.0008459242150239817,0.68925912482811
274,0.0008396833047488346,0.6900988081328588
275,0.0008365137244249919,0.6909353218572838
276,0.0008345827710726423,0.6917699046283564
277,0.0008316768368451755,0.6926015814652016
278,0.0008271610968967673,0.6934287425620983
279,0.0008267243851785602,0.6942554669472769
280,0.000822313292808809,0.6950777802400857
281,0.0008187629886267317,0.6958965432287124
282,0.000815590613557582,0.69671213384227
283,0.0008130056398255797,0.6975251394820956
284,0.0008108782788721992,0.6983360177609678
285,0.0008067269295103375,0.6991427446904781
286,0.0008046590657298476,0.6999474037562079
287,0.0008041855864427336,0.7007515893426506
288,0.0008019607552454432,0.701553550097896
289,0.0008009632674402008,0.7023545133653362
290,0.0007987889424396103,0.7031533023077757
291,0.0007937768283571635,0.7039470791361329
292,0.0007911782662314208,0.7047382574023643
293,0.0007894943672681375,0.7055277517696324
294,0.0007875556891426065,0.706315307458775
295,0.0007858599738108074,0.7071011674325858
296,0.0007828961696399009,0.7078840636022257
297,0.000779194790800373,0.708663258393026
298,0.0007778784443475348,0.7094411368373735
299,0.0007733848127858511,0.7102145216501594
300,0.0007708635495547693,0.7109853851997142
301,0.0007673264844938714,0.7117527116842081
302,0.0007648050678361398,0.7125175167520442
303,0.0007619229046789849,0.7132794396567232
304,0.0007572798169826457,0.7140367194737058
305,0.0007553502310026399,0.7147920697047084
306,0.0007504345166167316,0.7155425042213251
307,0.0007472608716333595,0.7162897650929585
308,0.0007456534993820854,0.7170354185923405
309,0.0007406580430929493,0.7177760766354335
310,0.0007397840719040695,0.7185158607073376
311,0.0007370219695619676,0.7192528826768996
312,0.0007345317812574031,0.719987414458157
313,0.0007322594684420059,0.720719673926599
314,0.0007300956296863963,0.7214497695562854
315,0.0007274735742433525,0.7221772431305287
316,0.0007250583526127367,0.7229023014831414
317,0.0007236957197159381,0.7236259972028574
318,0.0007222674566690012,0.7243482646595264
319,0.0007187147662233221,0.7250669794257497
320,0.0007170084761689138,0.7257839879019187
321,0.0007155040197197739,0.7264994919216384
322,0.0007130748047950714,0.7272125667264335
323,0.0007098085650602832,0.7279223752914938
324,0.000708685874276834,0.7286310611657707
325,0.0007084203119782243,0.729339481477749
326,0.0007050968858216219,0.7300445783635706
327,0.0007006846277598418,0.7307452629913305
328,0.0006996139594213397,0.7314448769507518
329,0.0006976106159716511,0.7321424875667234
330,0.000693341373508611,0.732835828940232
331,0.000688478311389385,0.7335243072516214
332,0.0006881505779783295,0.7342124578295998
333,0.00068592245205309,0.7348983802816529
334,0.0006831744353619906,0.7355815547170149
335,0.0006799345015905676,0.7362614892186055
336,0.0006791244857159977,0.7369406137043214
337,0.0006774350364264698,0.7376180487407479
338,0.0006767579099751732,0.738294806650723
339,0.0006753890386717277,0.7389701956893947
340,0.0006717381923469882,0.7396419338817417
341,0.0006692266024064439,0.7403111604841481
342,0.0006678685742268035,0.740979029058375
343,0.0006669764622608297,0.7416460055206359
344,0.0006642166481495831,0.7423102221687854
345,0.0006629021773285943,0.742973124346114
346,0.0006611138313307762,0.7436342381774448
347,0.000658501905853803,0.7442927400832986
348,0.0006568564242829516,0.7449495965075815
349,0.0006556668410284902,0.74560526334861
350,0.0006534428442355925,0.7462587061928456
351,0.0006499415600529203,0.7469086477528986
352,0.0006470357707304797,0.747555683523629
353,0.0006439618487742514,0.7481996453724032
354,0.000642908247194414,0.7488425536195976
355,0.0006398654906924704,0.7494824191102901
356,0.0006388680697722269,0.7501212871800623
357,0.0006341633821416413,0.7507554505622039
358,0.0006326721977977363,0.7513881227600017
359,0.0006321944276219104,0.7520203171876235
360,0.0006310052545121454,0.7526513224421356
361,0.0006283037456263662,0.753279626187762
362,0.0006256855337613984,0.7539053117215234
363,0.0006232375485183639,0.7545285492700418
364,0.000622152906067732,0.7551507021761095
365,0.0006187704463333408,0.7557694726224428
366,0.0006168957103903294,0.7563863683328331
367,0.0006161686476719378,0.757002536980505
368,0.000615638204473072,0.7576181751849781
369,0.0006126747297683342,0.7582308499147464
370,0.0006121626586893434,0.7588430125734358
371,0.0006085995962948766,0.7594516121697307
372,0.0006057007768139172,0.7600573129465445
373,0.0006040541100498543,0.7606613670565944
374,0.0006030509529124918,0.7612644180095068
375,0.0006014876926696105,0.7618659057021765
376,0.0005998796645496056,0.762465785366726
377,0.0005957148540823802,0.7630615002208084
378,0.0005945455937257204,0.7636560458145342
379,0.0005931611987657973,0.7642492070133
380,0.0005920607072171921,0.7648412677205172
381,0.0005879550329492214,0.7654292227534664
382,0.0005875136325473571,0.7660167363860138
383,0.0005862986743444467,0.7666030350603582
384,0.0005850901885697282,0.767188125248928
385,0.000582622576693175,0.7677707478256212
386,0.0005804234456200419,0.7683511712712412
387,0.0005786647633152657,0.7689298360345564
388,0.0005774059309075127,0.7695072419654639
389,0.0005764833266628939,0.7700837252921269
390,0.0005732414646013372,0.7706569667567282
391,0.0005724865886426594,0.7712294533453709
392,0.000571631391770351,0.7718010847371412
393,0.0005709401501522747,0.7723720248872934
394,0.0005697241954005475,0.772941749082694
395,0.0005669230437229069,0.7735086721264168
396,0.0005658130280318402,0.7740744851544487
397,0.0005644078951758126,0.7746388930496245
398,0.0005633011122543597,0.7752021941618789
399,0.0005604869239595111,0.7757626810858383
400,0.0005583628978622109,0.7763210439837006
401,0.0005574114481584796,0.7768784554318591
402,0.0005552747491226226,0.7774337301809817
403,0.0005536507419093016,0.777987380922891
404,0.0005523845768131272,0.7785397654997042
405,0.0005502758553179283,0.7790900413550221
406,0.0005479767114611743,0.7796380180664834
407,0.0005459440835155094,0.7801839621499989
408,0.0005451206570418069,0.7807290828070407
409,0.0005436527706006645,0.7812727355776413
410,0.000541810537363306,0.7818145461150047
411,0.0005411413410653229,0.78235568745607
412,0.0005408970642946718,0.7828965845203647
413,0.0005387404843979652,0.7834353250047627
414,0.0005372480382303777,0.7839725730429931
415,0.0005354219789955586,0.7845079950219886
416,0.0005349389457843681,0.785042933967773
417,0.0005312912435951394,0.7855742252113682
418,0.0005307912593336875,0.7861050164707019
419,0.000530021211922283,0.7866350376826241
420,0.0005275055191473999,0.7871625432017715
421,0.0005263532053458307,0.7876888964071173
422,0.0005237423614105445,0.7882126387685278
423,0.0005227200768183459,0.7887353588453461
424,0.0005223262750001962,0.7892576851203462
425,0.0005203047682112945,0.7897779898885575
426,0.0005182854114113294,0.7902962752999688
427,0.0005172642325496881,0.7908135395325185
428,0.0005153718570473807,0.791328911389566
429,0.0005142154661305216,0.7918431268556965
430,0.0005131135620747548,0.7923562404177712
431,0.0005125867756598024,0.792868827193431
432,0.0005112577711047592,0.7933800849645357
433,0.0005093352141689837,0.7938894201787047
434,0.0005061678400055663,0.7943955880187102
435,0.0005056178298026036,0.7949012058485129
436,0.0005047252226415805,0.7954059310711544
437,0.0005034425286872626,0.7959093735998417
438,0.0005016826850079242,0.7964110562848496
439,0.0005004903571515937,0.7969115466420013
440,0.0004980561749514883,0.7974096028169527
441,0.0004969873413287911,0.7979065901582815
